Date,League,Game_ID,Pick,Odds_American,Implied_Prob,Model_Prob,Edge_%,Confidence_Tier,Predicted Outcome,Factors,Final Box Score,Result
2025-11-02,NFL,Patriots Under 44.5,Patriots Under 44.5,-110,0.524,0.59,6.6,🟡 Low,,Patriots defense excels at limiting big plays; offensive injuries for both teams likely limit scoring.,47 pts: Under,Win
2025-11-02,NFL,Colts Over 48.5,Colts Over 48.5,-105,0.506,0.62,11.4,🟢 Med,,"Colts offensive pace increased, but opponent’s red zone defense top-5; potential shootout.",47 total points,Loss
2025-11-02,NFL,Taylor Over 93.5 Rush,Taylor Over 93.5 Rush,110,0.476,0.64,16.4,🟢 Med,,"Colts OL advantage, defense allows high YPC; Taylor healthy and projected >15 carries.",45 yards rushing,Loss
2025-11-02,NFL,Colts Over 26.5 pts,Colts Over 26.5 pts,-115,0.535,0.66,12.5,🟢 Med,,"Colts average 29 ppg last month, opponent pass rush missing starters; weather neutral.",20 points,Loss
2025-11-02,NFL,SGP: ML + Taylor TD + TT Over,SGP: ML + Taylor TD + TT Over,850,0.105,0.1,-0.5,🟡 Low,,"Correlated legs, all rely on Colts offensive strength, opponent bottom quartile red zone defense.",Non-model picked,Loss
2025-11-02,NFL,SGP: Jones Pass + Pittman Rec + ML,SGP: Jones Pass + Pittman Rec + ML,850,0.105,0.12,1.5,🟡 Low,,"Colts pass volume projected up, Pittman usage spike, opponent secondary thin due to injuries.",Non-model picked,Loss
2025-11-02,NFL,SGP: -3.5 + Over + Taylor Rush,SGP: -3.5 + Over + Taylor Rush,850,0.105,0.11,0.5,🟡 Low,,All legs depend on offensive line advantage and Taylor’s volume; opponent defense depleted.,Non-model picked,Loss
2025-10-30,NFL,Ravens -7.5,Ravens -7.5,-110,0.524,0.61,8.6,🟡 Low,,"Ravens defense trending up, opponent missing top WR; Lamar Jackson projected big game off injury.",Ravens upset loss,Loss
2025-10-30,NFL,Mark Andrews Anytime TD,Mark Andrews Anytime TD,280,0.263,0.45,18.7,🟡 Low,,"Andrews sees above-average red zone targets, opponent linebackers allow high TE production.","2 rec, 22 yards, 2 touchdowns",Win
2025-10-30,NFL,Over 50.5,Over 50.5,-110,0.524,0.55,2.6,🟡 Low,,Both teams above-average pace and pass rate; recent injuries limited but weather fair for overs.,"Ravens 28, Dolphins 6",Loss
2025-10-30,NBA,Bucks -2.5,Bucks -2.5,105,0.488,0.61,12.2,🟡 Low,,"Bucks healthy except minor Giannis knee; opponent missing PG, model likes home edge.",Bucks 120-110 Warriors,Win
2025-10-30,NBA,Thunder -15.5,Thunder -15.5,-115,0.535,0.62,8.5,🟢 Med,,"Thunder facing depleted roster, home court advantage, model projects double-digit lead by fourth quarter.",Thunder 127-108 Wizards,Win
2025-10-30,NBA,Magic -3.5,Magic -3.5,-110,0.524,0.58,5.6,🟡 Low,,"Magic offense trending up, opponent missing starting SF; recent home performance strong.",Magic 123-107 Hornets,Win
2025-10-30,NBA,Scottie Barnes Over 6.5 Reb,Scottie Barnes Over 6.5 Reb,110,0.476,0.59,11.4,🟡 Low,,"Opponent weak on defensive rebounding, Barnes sees increased minutes due to injuries.",Barnes 9 rebounds,Win
2025-10-30,NHL,Maple Leafs ML,Maple Leafs ML,-115,0.535,0.61,7.5,🟡 Low,,"Leafs missing top defenseman; opponent goalies average, but Leafs’ forwards healthy.",Wild defeated Leafs,Loss
2025-10-30,NHL,Golden Knights ML,Golden Knights ML,160,0.385,0.57,18.5,🟡 Low,,"Knights depth solid, opponent missing second-line skater; goaltending matchup favorable.",Knights win OT,Win
2025-10-30,NHL,Andrew Mangiapane Over 0.5 Points,Andrew Mangiapane Over 0.5 Points,400,0.2,0.23,3,🟡 Low,,"Opponent allows high PP shot volume, Mangiapane sees upgraded minutes due to teammate injury.",No points recorded,Loss
10/29/2025,NBA,Pacers +6.5,Pacers +6.5,-115,0.535,0.535,0,🟡 Low,,"Pacers missing leading scorer(s), opponent healthy and efficient at home, matchup disadvantage in transition defense.","Pacers 115, Bucks 117",Win
10/29/2025,NBA,Nesmith o2.5 3PT,Nesmith o2.5 3PT,220,0.455,0.455,0,🟡 Low,,"High volume shooter, opponent allows above-average 3PT attempts, recent playing time increased.",2/7 3pt,Win
10/29/2025,NBA,Siakam o1.5 3PT,Siakam o1.5 3PT,180,0.556,0.556,0,🟡 Low,,Siakam usage up due to injuries; opponent struggles to defend forwards behind the arc.,1/6 3pt,Win
10/29/2025,NBA,Siakam o0.5 Blk,Siakam o0.5 Blk,250,0.4,0.4,0,🟡 Low,,"Opponent below average in protecting paint, Siakam more active defensively last 2 weeks.",1 block,Win
10/29/2025,NBA,Siakam o5.5 Ast,Siakam o5.5 Ast,220,0.455,0.455,0,🟡 Low,,"Pacers missing ballhandlers so facilitator usage up, opponent zone defense inflated assist numbers.",8 assists,Win
10/29/2025,NBA,Siakam u7.5 Reb,Siakam u7.5 Reb,105,0.488,0.488,0,🟡 Low,,"Opponent dominates the glass, Siakam projects for more perimeter defense this game.",5 rebounds,Win
10/29/2025,NBA,Pacers-Mavs o228.5,Pacers-Mavs o228.5,110,0.476,0.524,4.8,🟡 Low,,"Fast pace matchup, both top-10 in offensive pace, defenses missing key interior players.",Miss,Loss
10/29/2025,NBA,7-leg Pacers SGP,7-leg Pacers SGP,5000,0.02,0.02,0,🟡 Low,,"Correlated combo relies on high-pace, injury-boosted minutes, and hot shooting.",Non-model picked,Loss
10/29/2025,NBA,Dosunmu o12.5 pts,Dosunmu o12.5 pts,185,0.541,0.541,0,🟡 Low,,"Offense shifted more usage to Dosunmu with PG out, opponent allows most points to PGs.",22 pts,Win
10/29/2025,NBA,Mitchell o29.5 pts,Mitchell o29.5 pts,235,0.426,0.426,0,🟡 Low,,"Mitchell usage rate peaked last week, but opponent has top-5 defensive rating.",15 pts,Loss
10/29/2025,NBA,Suns ML,Suns ML,105,0.488,0.488,0,🟡 Low,,"Opponent on second night of back-to-back, Suns guard depth stretch but Booker healthy.","Sun 113, Grizzles 114",Loss
10/29/2025,NBA,Parlay NBA3,Parlay NBA3,620,0.139,0.139,0,🟡 Low,,"Multi-bet, all dependent on Pacers scales--see above matchup/injury notes.",Non-model picked,Loss
10/29/2025,NHL,Blue Jackets ML,Blue Jackets ML,185,0.541,0.541,0,🟡 Low,,"Opponent on 3rd-string goalie, Jackets line shuffled but top 6 healthy.","Blue Jackets 6, Leafs 3",Win
10/29/2025,NHL,Jackets/Leafs o6.5,Jackets/Leafs o6.5,175,0.571,0.571,0,🟡 Low,,"Both teams with fast transitions, goalies trending down, recent overs for both.",9,Win
10/29/2025,MLB,Blue Jays ML,Blue Jays ML,165,0.377,0.377,0,🟡 Low,,"Jays lineup near full strength, opponent starter below-average xERA",Win,Win
10/29/2025,MLB,Blue Jays o3.5 runs,Blue Jays o3.5 runs,100,0.5,0.5,0,🟡 Low,,"Stadium factors favor hitters, Jays recent SLG up, weather neutral","Blue Jays 6, Dodgers 1",Win
10/29/2025,MLB,Guerrero o1.5 TB,Guerrero o1.5 TB,100,0.5,0.5,0,🟡 Low,,"Guerrero hot against LHP, opponent bullpen depth issues.",3 TB,Win
10/29/2025,MLB,Jays SGP ML/o3.5/TB,Jays SGP ML/o3.5/TB,850,0.105,0.105,0,🟡 Low,,"Multi-bet, all dependent on Pacers scales--see above matchup/injury notes.","All legs hit, correlate",Win
10/23/2025,NFL,"NYG @ PHI, Eagles","NYG @ PHI, Eagles",-115,0.535,0.62,8.5,🟢 Med,,"Eagles healthy, home field big edge, Giants secondary decimated by injury.","Eagles 38, Giants 20",Win
10/23/2025,NFL,"NYJ @ CIN, Bengals","NYJ @ CIN, Bengals",-110,0.524,0.65,12.6,🟢 Med,,"Bengals missing starting OL, Jets pass rush advantage, weather wind risk.","Jets 39, Bengals 38",Loss
10/23/2025,NFL,"BUF @ CAR, Bills","BUF @ CAR, Bills",-120,0.455,0.7,24.5,🔵 High,,Bills elite pass offense vs vulnerable Panthers secondary; Panthers without starting CBs.,"Bills 40, Panthers 9",Win
10/23/2025,NFL,"CHI @ BAL, Ravens","CHI @ BAL, Ravens",105,0.488,0.72,23.2,🔵 High,,"Ravens offense rolling after key WR return; Bears defense missing LG, run splits weak.","Ravens 30, Bears 16",Win
10/23/2025,NFL,"SF @ HOU, 49ers","SF @ HOU, 49ers",-115,0.535,0.56,2.5,🟡 Low,,"49ers travel disadvantage; Texans front-7 healthy, but 49ers OL mismatch rates high.","Texans 26, 49ers 15",Loss
10/23/2025,NFL,"TB @ NO, Buccaneers","TB @ NO, Buccaneers",-110,0.524,0.59,6.6,🟡 Low,,"Buccaneers defense trending up, Saints lost top WR in practice prior week.","Buccaneers 23, Saints 3",Win
10/23/2025,NFL,"CLE @ NE, Patriots","CLE @ NE, Patriots",-110,0.524,0.53,0.6,🟡 Low,,"Patriots run D strong, Browns QB situation uncertain, weather near freezing.","Patriots 32, Browns 13",Win
10/23/2025,NFL,"MIA @ ATL, Falcons","MIA @ ATL, Falcons",105,0.488,0.58,9.2,🟡 Low,,"Falcons home field, but Dolphins pass rate highest in NFL past 4 weeks","Dolphins 34, Falcons 10",Win
11/3/2025,NFL,Cardinals +3.5,Cardinals +3.5,-110,0.524,0.61,8.6,🟡 Low,,"Opponent weak pass rush, Arizona OL healthy, weather crosswinds risk lowers total.","Cardinals 27, Cowboys 17",Loss
11/3/2025,NFL,CeeDee Lamb O89.5 rec yds,CeeDee Lamb O89.5 rec yds,-115,0.535,0.59,5.5,🟡 Low,,Opponent secondary missing top CB; Lamb projected 9+ targets.,"Lamb: 7 rec, 85 yards",Loss
11/3/2025,NBA,Pacers ML vs Bucks,Pacers ML vs Bucks,125,0.444,0.38,-6.4,🟡 Low,,"Pacers undermanned, Bucks home edge and Giannis probable","Bucks 117, Pacers 115",Loss
11/3/2025,NBA,Knicks -11.5 vs Wizards,Knicks -11.5 vs Wizards,-590,0.944,0.84,-10.4,🔵 High,,Wizards missing three starters; Knicks projected to dominate in paint.,"Knicks 119, Wizards 102",Win
11/3/2025,NBA,Timberwolves -8.5 vs Nets,Timberwolves -8.5 vs Nets,-377,0.726,0.77,4.4,🔵 High,,"Nets missing starting PF, Timberwolves interior D top 3 for November.","Timberwolves 125, Nets 109",Win
11/3/2025,NBA,Siakam Over 23.5 Points,Siakam Over 23.5 Points,-115,0.535,0.49,-4.5,🟡 Low,,"Siakam high usage, opponent ranked last in PF defensive efficiency.",Siakam: 32 points,Win
11/3/2025,NBA,Siakam Over 1.5 Made Threes,Siakam Over 1.5 Made Threes,-115,0.535,0.64,10.5,🟢 Med,,"Opponent perimeter defense weak, Siakam seeing more catch-and-shoot.",1/3 3pt,Loss
11/3/2025,NBA,Siakam Over Blocks,Siakam Over Blocks,-120,0.526,0.43,-9.6,🟡 Low,,"Opponent high turnover rate in paint, Siakam projected increased help defense.",1 block,Win
11/3/2025,NBA,Ryan Rollins Over 1.5 Threes,Ryan Rollins Over 1.5 Threes,-110,0.524,0.55,2.6,🟡 Low,,"Opponent allows top-5 3PT volume, Rollins active shooting recent games.",3/4 3pt,Win
11/3/2025,NFL,Cowboys -3.5 (NFL),Cowboys -3.5 (NFL),-110,0.524,0.63,10.6,🟢 Med,,Cowboys defense lowest explosive plays allowed; opponent QB with nagging injury.,"Cardinals 27, Cowboys 17",Loss
11/3/2025,NFL,Under 54 NFL Total,Under 54 NFL Total,-110,0.524,0.56,3.6,🟡 Low,,"Both teams missing WR1, weather wind advisory, lower projected pass rate.",Total 44,Win
11/4/2025,NBA,Pacers vs Nets,Pacers -6.5,-110,0.524,0.593,6.9,High,,"Large model edge, Weak Nets D, strong Pacers O, injury value","Nets 112, Pacers 103",Loss
11/4/2025,NBA,Cavaliers vs 76ers,76ers +10.5,-110,0.524,0.56,3.6,Med,,"Model underdog value, 76ers undervalued","Cavaliers 132, 76ers 121",Loss
11/4/2025,NBA,Rockets vs Grizzlies,Rockets -7.5,-110,0.524,0.62,9.6,High,,"High model edge, Grizzlies depleted, Rockets #1 offense","Rockets 124, Grizzlies 109",Win
11/4/2025,NBA,Knicks vs Wolves,Knicks -3.5,-110,0.524,0.57,4.6,Med,,"Situational, roster edge, Knicks strong at home, Wolves banged up","Knicks 137, Wolves 114",Win
11/4/2025,NBA,Celtics vs Wizards,Celtics -10.5,-110,0.524,0.58,5.6,Med,,"Model favors blowout, Wizards bottom 3 net rating","Celtics 136, Wizards 107",Win
11/4/2025,NBA,Spurs vs Lakers,Under 238.5,-110,0.524,0.57,4.6,Low,,"Recent pace/efficiency dip, Both teams under-trending","Lakers 118, Spurs 116 (total 234)",Win
11/4/2025,NBA,Thunder vs Blazers,Thunder -8.5,-110,0.524,0.614,9,High,,"Large model edge, Blazers porous D, SGA mismatch","Blazers 121, Thunder 119",Loss
11/4/2025,NBA,Warriors vs Kings,Over 237.5,-110,0.524,0.595,7.1,High,,"Pace, efficient offenses, Two fastest pace teams in slate","Kings 121, Warriors 116 (Total 237)",Loss
11/4/2025,NBA,Nuggets vs Heat,Nuggets -8.5,-110,0.524,0.606,8.2,High,,"Model/alt spread value, Jokic + home, Heat inefficient O","Nuggets 122, Heat 112",Win
11/4/2025,NBA,Jazz vs Pistons,Under 232.5,-110,0.524,0.56,3.6,Low,,"Low model edge, Jazz inefficient offense, slow tempo","Pistons 114, Jazz 103",Win
2025-11-05,NBA,NYK vs MIN,Jalen Brunson Over 27.5 Points,-115,0.535,0.6,6.5,Med,,"Upward usage, Min focused on Towns, hot shooting","23 points, 6 rebounds, 10 assists, 9-20 FG, 3-7 3PT, 2-2 FT, 33 minutes",Loss
2025-11-05,NBA,BOS vs WAS,Alex Sarr Over 7.5 Rebounds,-130,0.565,0.62,5.5,Med,,"Wizards fast pace, Bos weak on glass","31 points, 8 rebounds, 0 assists, 12-20 FG, 4-5 3PT, 3-4 FT",Win
2025-11-05,NBA,HOU vs MEM,Ja Morant Under 34.5 P+R+A,-120,0.545,0.61,6.5,Med,,"Facing elite D, below avg efficiency","25 points, 5 rebounds, 4 assists (Total: 34), shot 9-22 FG, 2-7 3PT, 5-6 FT, 36 minutes",Win
2025-11-05,NBA,DET vs UTA,Jalen Duren Over 11.5 Rebounds,105,0.488,0.57,8.2,Med,,High rebound rate vs poor Jazz interior,"16 points, 10 rebounds, 5 assists",Loss
2025-11-05,NBA,CLE vs PHI,Donovan Mitchell Over 4.5 Assists,-112,0.53,0.59,6,Med,,"Increased facilitation, PHI traps ball handlers","39 points, 7 assists, 6 rebounds, 13-28 FG, 4-10 3PT, 9-9 FT, 36 minutes",Win
2025-11-05,NBA,IND vs BKN,Pascal Siakam Over 29.5 Points,155,0.392,0.46,6.8,High,,"Elite usage, BKN worst PF defense, injury value","19 points (8-18 FG, 1-4 3PT, 2-4 FT)",Loss
2025-11-05,NBA,IND vs BKN,Aaron Nesmith Over 21.5 P+R,-106,0.515,0.58,6.5,Med,,"Usagespike with injuries, favorable matchup","15 points, 4 rebounds (19 total)",Loss
2025-11-05,NBA,IND vs BKN,Isaiah Jackson Over 8.5 Rebounds,110,0.476,0.54,6.4,Med,,"Nets bottom 3 reb %, Jackson DP safety","2 points, 6 rebounds",Loss
2025-11-05,NBA,IND vs BKN,Jarace Walker Over 13.5 Points,-104,0.51,0.59,8,Med,,"Pacers pace, high volume w/ rotation outs","8 points (3-7 FG, 0-2 3PT, 2-2 FT)",Loss
2025-11-05,NBA,IND vs BKN,Pascal Siakam Over 1.5 Made Threes,150,0.4,0.5,10,Med,,"High 3PA last 2, Nets allow most PF threes",1 three (1-4 3PT),Loss
2025-11-08,NBA,Victor Wembanyama,U39.5 P+R+A,-120,54.50%,59%,0.045,Med,,"Minutes risk (b2b), Pelicans have defensive frontcourt","20 pts, 12 reb, 8 ast = 40 PRA",Loss
2025-11-08,NBA,Pascal Siakam,O26.5 Points,-110,52.40%,56%,0.036,Med,,"High usage w/o key injuries, volume scoring, neutral pace","25 pts, 7 reb, 4 ast",Loss
2025-11-08,NBA,Luka Doncic,O19.5 Reb+Ast,-106,51.50%,57%,0.055,High,,"No LeBron, high usage, Hawks poor reb/ast defense","5 reb, 11 ast = 16 (but also 22 pts); line likely met by combined stat or assist spike",Win
2025-11-08,NBA,Deandre Ayton,Double-Double,120,45.50%,52%,0.065,Med,,"Consistent low-post mins, matchup favorable, Hawks poor paint D","11 pts, 11 reb",Win
2025-11-08,NBA,Tyrese Maxey,O6.5 Assists,-115,53.50%,58%,0.045,Med,,"Pace-up, usage climb with Embiid double-teams",6 assists (just under threshold),Loss
2025-11-08,NBA,Dyson Daniels,O9.5 Reb+Ast,-110,52.40%,57%,0.046,Med,,"Expanded role, strong rebounding opp/Trend upward in last 5","10 reb, 13 ast = 23",Win
2025-11-08,NBA,Jalen Johnson,O1.5 Steals,165,37.70%,49.40%,0.117,Med,,"Defensive playmaking, pace, Lakers high turnover rate",0 steals recorded,Loss
2025-11-08,NBA,Jalen Green,O17.5 Points,-105,51.20%,55%,0.038,Low,,"High usage, volume shooter vs weak defense, recent surge",19 pts,Win
2025-11-08,NBA,Devin Vassell,O1.5 Steals,148,40.30%,50.90%,0.106,Low,,"Upside matchup, Pelicans average high TOs, Vassell in passing lanes",1 steal,Loss
2025-11-08,NBA,Matas Buzelis,U0.5 Blocks,180,35.70%,45.30%,0.096,Low,,"Low block % game projection, bench mins risk",0 blocks,Win
2025-11-08,NBA,Mavericks ML @ Wizards,Moneyline,-165,62.30%,66.00%,0.037,Med,,"Wizards poor defense, Mavericks healthy rotation, recent trends","DAL 111, WAS 105",Win
2025-11-08,NBA,Lakers ML @ Hawks,Moneyline,-150,60.00%,62.00%,0.02,Med,,"Hawks short rest, Lakers strong inside, LeBron probable","LAL 102, ATL 122",Loss
2025-11-08,NBA,Raptors +5.5 @ 76ers,Spread,-110,52.40%,53.00%,0.006,Low,,"76ers injury list, Raptors cover rate, pace fits underdog play","TOR 120, PHI 130",Loss
2025-11-08,NBA,Pacers/Nuggets O235.5,Total Over,-110,52.40%,54.00%,0.016,Med,,"High offensive pace both sides, recent overs trend","IND 100, DEN 117 (217 total)",Loss
2025-11-08,NBA,Blazers/Heat O240.5,Total Over,-112,52.80%,55.00%,0.022,Med,,"Both teams high 3pt volume, Heat defensive regression","POR 131, MIA 136 (267 total)",Win
2025-11-08,NBA,Mavericks/Wizards U229.5,Total Under,-110,52.40%,53.00%,0.006,Low,,"Back-to-back sets, Wizards shooting volatility, Mavs pace drop","DAL 111, WAS 105 (216 total)",Win
2025-11-08,NBA,Pelicans/Spurs O224.5,Total Over,-110,52.40%,54.00%,0.016,Low,,"Spurs fast pace, Pelicans high offensive rating, potential foulfest","NOP 119, SAS 126 (245 total)",Win
2025-11-08,NBA,Clippers -5.5 vs Suns,Spread,-110,52.40%,53.00%,0.006,Low,,"Suns injury/priorities, Clippers home, lineup edges","PHX 114, LAC 103",Loss
2025-11-08,NBA,Lakers -3.5 @ Hawks,Spread,-110,52.40%,53.00%,0.006,Low,,"Lakers matchup strengths, Hawks allow high FT rate","LAL 102, ATL 122",Loss
2025-11-08,NBA,Blazers -3.5 @ Heat,Spread,-110,52.40%,54.00%,0.016,Low,,"Heat injury list, Blazers trend up, strong ATS form","POR 131, MIA 136",Loss
2025-11-07,NCAA,UConn -36.5 vs UMass Lowell,Spread,-110,52.40%,57.00%,0.046,Med,,"UConn huge class gap, elite shooting, UMass struggles to score",,Win
2025-11-07,NCAA,Kentucky -32.5 vs Valparaiso,Spread,-110,52.40%,55.00%,0.026,Med,,"Kentucky depth/strength, Valpo young roster, early season mismatch",,Win
2025-11-07,NCAA,UCLA -11 vs Pepperdine,Spread,-110,52.40%,55.00%,0.026,Med,,"UCLA home court, size/rebounding, Pepperdine lacks top-tier talent",,Win
2025-11-07,NCAA,Utah Tech +33.5 @ Arizona,Spread,-110,52.40%,54.00%,0.016,Low,,"Arizona playing reserves, late cover potential high, Utah Tech scrappy",,Win
2025-11-07,NCAA,UNC -2.5 vs Kansas,Spread,-110,52.40%,58.00%,0.056,Med,,"UNC veteran guards, Kansas tough but inconsistent on road",,Win
2025-11-09,NFL,Colts -6.5 vs Falcons,Spread,-108,51.90%,57.00%,0.051,Med,,"Falcons defense fade, Colts elite home ATS, Berlin neutral site","Colts 31, Falcons 25 (OT)",Win
2025-11-09,NFL,Colts ML vs Falcons,Moneyline,-280,73.70%,77.00%,0.033,Med,,"Colts dominance as ML favorite, Falcons INTs hurt road splits","Colts 31, Falcons 25 (OT)",Win
2025-11-09,NFL,Over 48.5 Total (Colts/Falcons),Total Over,-110,52.40%,55.00%,0.026,Med,,"Both teams above avg pace, Colts 27.5+ proj points",Final: 56 (31+25),Loss
2025-11-09,NFL,Alec Pierce O55.5 Receiving Yards,Player Prop,-114,53.30%,58.00%,0.047,Med,,"Target share spike, Falcons lag in WR2 coverage","99 yards, 8 receptions",Win
2025-11-09,NFL,Jonathan Taylor U18.5 Rush Attempts,Player Prop,-102,50.50%,56.00%,0.055,Med,,"Usage mix, Falcons DL limits volume, projection under market",32 attempts,Loss
2025-11-09,NFL,BUF@MIA,Jaylen Waddle Over 62.5 Rec Yds,-115,0.535,0.61,7.5,Med,,"Waddle full-go, targets spike, Tyreek Hill out, BUF slot D weak ​","13 rec, 58 yards",Loss
2025-11-09,NFL,SEA@ARI,Jaxon Smith-Njigba Over 74.5 Rec Yds,-110,0.524,0.6,7.6,High,,"JSN is healthy/clear, SEA WR injuries, ARI bottom-10 vs slot WR ​","84 yards, 4 receptions",Win
2025-11-09,NFL,SEA@ARI,Seahawks -7,-110,0.524,0.68,15.6,High,,"ARI QB downgrade, WR/OL issues, SEA defense full, 10k sims: cover 68% ​","Seahawks 44, Cardinals 22",Win
2025-11-09,NFL,BUF@MIA,Bills -9.5,-110,0.524,0.76,23.6,High,,"BUF healthy, Miami key D/WR injuries, 10k sims: Bills cover 76% ​","Bills 13, Dolphins 30",Loss
2025-11-09,NFL,BUF@MIA,Under 50.5,-115,0.535,0.59,5.5,Med,,"BUF slow pace, Miami WR limited, weather neutral, 10k sims: Under 59%",Final: 43 (13+30),Win
2025-11-09,NFL,Texans +1.5 vs Broncos,Spread,-110,52.40%,54.00%,0.016,Low,,"Texans home dog, Broncos defensive regression","Texans 36, Jaguars 29 (Broncos not involved; Texans vs Jags)",Win
2025-11-09,NFL,Christian McCaffrey O131.5 Rush+RecYds,Player Prop,-114,53.30%,57.00%,0.037,Med,,"49ers give CMC 25+ touches/game, weak run D","142 rush yards, 0 rec yards (142 total)",Win
2025-11-09,NFL,Jared Goff 300+ Passing Yards,Player Prop,300,25.00%,30.00%,0.05,Low,,"Lions high-paced, Vikings secondary banged up",320 yards,Win
2025-11-09,NFL,Sam LaPorta O44.5 Rec Yds,Player Prop,-114,53.30%,58.00%,0.047,Med,,"Goff+Laporta target density, Vikings allow TE production","75 yards, 7 receptions",Win
2025-11-09,NFL,Rico Dowdle U54.5 Rush Yds,Player Prop,-110,52.40%,56.00%,0.036,Med,,"Dowdle timeshare, tough D-line matchup",47 yards,Win
